Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Adjunto,Campo personalizado (Issue color),Campo personalizado (Metas),Campo personalizado (Rank),Sprint,Campo personalizado (Start date),Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerability),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
PA: El sistema debe confirmar al usuario que la contraseña fue actualizada correctamente.,TIC-201,12522,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,13/mar/26 6:01 PM,13/mar/26 6:19 PM,,,,0,,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,,,,,,,,,,,,0|i0075j:,Tablero Sprint 1,,,,,,Por hacer,13/mar/26 6:01 PM,12044,TIC-6,"Como Usuario o Promotor, quiero restablecer mi contraseña mediante mi correo, para recuperar el acceso si la olvido."
PA: El enlace debe tener tiempo de expiración por seguridad.,TIC-200,12520,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,13/mar/26 6:00 PM,13/mar/26 6:19 PM,,,,0,,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,,,,,,,,,,,,0|i0075b:,Tablero Sprint 1,,,,,,Por hacer,13/mar/26 6:00 PM,12044,TIC-6,"Como Usuario o Promotor, quiero restablecer mi contraseña mediante mi correo, para recuperar el acceso si la olvido."
PA: El enlace debe permitir al usuario ingresar una nueva contraseña.,TIC-199,12518,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,13/mar/26 6:00 PM,13/mar/26 6:19 PM,,,,0,,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,,,,,,,,,,,,0|i00753:,Tablero Sprint 1,,,,,,Por hacer,13/mar/26 6:00 PM,12044,TIC-6,"Como Usuario o Promotor, quiero restablecer mi contraseña mediante mi correo, para recuperar el acceso si la olvido."
PA: El sistema debe enviar un correo con un enlace de recuperación de contraseña.,TIC-198,12516,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,13/mar/26 6:00 PM,13/mar/26 6:19 PM,,,,0,,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,,,,,,,,,,,,0|i0074v:,Tablero Sprint 1,,,,,,Por hacer,13/mar/26 6:00 PM,12044,TIC-6,"Como Usuario o Promotor, quiero restablecer mi contraseña mediante mi correo, para recuperar el acceso si la olvido."
PA: El sistema debe validar que el correo exista en la base de datos.,TIC-197,12514,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,13/mar/26 6:00 PM,13/mar/26 6:19 PM,,,,0,,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,,,,,,,,,,,,0|i0074n:,Tablero Sprint 1,,,,,,Por hacer,13/mar/26 6:00 PM,12044,TIC-6,"Como Usuario o Promotor, quiero restablecer mi contraseña mediante mi correo, para recuperar el acceso si la olvido."
PA: El usuario debe poder ingresar su correo electrónico en el formulario de recuperación.,TIC-196,12512,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,13/mar/26 6:00 PM,13/mar/26 6:19 PM,,,,0,,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,,,,,,,,,,,,0|i0074f:,Tablero Sprint 1,,,,,,Por hacer,13/mar/26 6:00 PM,12044,TIC-6,"Como Usuario o Promotor, quiero restablecer mi contraseña mediante mi correo, para recuperar el acceso si la olvido."
PA: Confirmar al usuario que la contraseña fue actualizada exitosamente [3h],TIC-195,12510,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ariana.kremsberger,712020:88af615b-9f5b-48fc-94b6-cafa03ddbcc2,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,13/mar/26 5:59 PM,15/mar/26 7:02 PM,,,,0,,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,,,,,,,,,,,,0|i00747:,Tablero Sprint 1,,,,,,Por hacer,13/mar/26 5:59 PM,12044,TIC-6,"Como Usuario o Promotor, quiero restablecer mi contraseña mediante mi correo, para recuperar el acceso si la olvido."
Validar reglas de seguridad de la nueva contraseña. [3h],TIC-194,12508,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,13/mar/26 5:59 PM,13/mar/26 6:18 PM,,,,0,,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,,,,,,,,,,,,0|i0073z:,Tablero Sprint 1,,,,,,Por hacer,13/mar/26 5:59 PM,12044,TIC-6,"Como Usuario o Promotor, quiero restablecer mi contraseña mediante mi correo, para recuperar el acceso si la olvido."
Crear endpoint POST /auth/reset-password.  [3h],TIC-193,12506,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ariana.kremsberger,712020:88af615b-9f5b-48fc-94b6-cafa03ddbcc2,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,13/mar/26 5:59 PM,13/mar/26 6:19 PM,,,,0,,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,,,,,,,,,,,,0|i0073r:,Tablero Sprint 1,,,,,,Por hacer,13/mar/26 5:59 PM,12044,TIC-6,"Como Usuario o Promotor, quiero restablecer mi contraseña mediante mi correo, para recuperar el acceso si la olvido."
Diseñar pantalla de recuperación de contraseña en frontend. [3h],TIC-192,12504,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,13/mar/26 5:59 PM,13/mar/26 6:18 PM,,,,0,,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,,,,,,,,,,,,0|i0073j:,Tablero Sprint 1,,,,,,Por hacer,13/mar/26 5:59 PM,12044,TIC-6,"Como Usuario o Promotor, quiero restablecer mi contraseña mediante mi correo, para recuperar el acceso si la olvido."
